"You know if you would just do as I say I wouldn't have to hurt you.","Amanda Stephan ,The Price of Trust",Evil
"No evil dooms us hopelessly except the evil we love, and desire to continue in, and make no effort to escape from.","George Eliot, Daniel Deronda", Evil
"The world is a dangerous place to live, not because of the people who are evil, but because of the people who don't do anything about it","Albert Einstein",Evil
"It is as inhuman to be totally good as it is to be totally evil","Anthony Burgess, A Clockwork Orange", Evil
"Nothing is easier than to denounce the evildoer; nothing is more difficult than to understand him.","Fyodor Dostoevsky", Evil
"May the forces of evil become confused on the way to your house.","George Carlin", Evil
"Man is the cruelest animal.","Friedrich Nietzsche", Evil
"When I despair, I remember that all through history the way of truth and love have always won. There have been tyrants and murderers, and for a time, they can seem invincible, but in the end, they always fall. Think of it--always.","Mahatma Gandhi", Evil
"The world is a dangerous place to live, not because of the people who are evil, but because of the people who don't do anything about it.","Albert Einstein", Evil
"There were moments when he looked on evil simply as a mode through which he could realize his conception of the beautiful.","Oscar Wilde, The Picture of Dorian Gray", Evil
"The world is a dangerous place to live, not because of the people who are evil, but because of the people who don't do anything about it.","Albert Einstein", Evil
"The only thing necessary for the triumph of evil is for good men to do nothing.","Edmund Burke",Evil
"We all have a Monster within; the difference is in degree, not in kind.","Douglas Preston, The Monster of Florence",Evil
"Knowledge is power. Power to do evil...or power to do good. Power itself is not evil. So knowledge itself is not evil.","Veronica Roth, Allegiant",Evil
"Evil begins when you begin to treat people as things.","Terry Pratchett, I Shall Wear Midnight",Evil
"No social stability without individual stability.","Aldous Huxley, Brave New World",Society
"When the whole world is crazy, it doesn't pay to be sane.","Terry Goodkind, The Pillars of Creation", Society
"The dumbing down of the country reflects itself on Broadway. The shows get dumber, and the public gets used to them.","Stephen Sondheim",Society
"Solitude is fine but you need someone to tell that solitude is fine.","Honoré de Balzac", Society
"The fear of appearances is the first symptom of impotence.","Fyodor Dostoevsky, Crime and Punishment",Society
"Solitude is fine but you need someone to tell that solitude is fine.","Honoré de Balzac",Society
"In individuals, insanity is rare; but in groups, parties, nations and epochs, it is the rule.","Friedrich Nietzsche",Society
"The unhappiest people in this world, are those who care the most about what other people think.","C. JoyBell C.",Society
"If the misery of the poor be caused not by the laws of nature, but by our institutions, great is our sin.","Charles Darwin",Society
"The only stable state is the one in which all men are equal before the law.","Aristotle",Society
"In individuals, insanity is rare; but in groups, parties, nations and epochs, it is the rule.","Friedrich Nietzsche",Society
"It is no measure of health to be well adjusted to a profoundly sick society.","J. Krishnamurti",Society
"Yeah, I love being famous. It's almost like being white, y'know?","Chris Rock",Society
"It is presumptuous to draw conclusions about a person from what one has heard.","Jude Morgan, Indiscretion",Society
"Civilized men are more discourteous than savages because they know they can be impolite without having their skulls split, as a general thing.","Robert E. Howard",Society
"What difference does it make to the dead, the orphans and the homeless, whether the mad destruction is wrought under the name of totalitarianism or in the holy name of liberty or democracy?","Mahatma Gandhi", Society
"When the whole world is crazy, it doesn't pay to be sane.","Terry Goodkind, The Pillars of Creation",Society
"When we change the way we communicate, we change society","Clay Shirky, Here Comes Everybody: The Power of Organizing Without Organizations",Society
"Almost all people have this potential for evil, which would be unleashed only under certain dangerous social circumstances.","Iris Chang, The Rape of Nanking",Society
"A revolution is not a bed of roses. A revolution is a struggle between the future and the past.","Fidel Castro",Society
"Gossip, as usual, was one-third right and two-thirds wrong.","L.M. Montgomery, Chronicles of Avonlea",Truth
"The truth is rarely pure and never simple.","Oscar Wilde, The Importance of Being Earnest",Truth
"Truth is a matter of the imagination.","Ursula K. Le Guin, The Left Hand of Darkness",Truth
"A lie can travel half way around the world while the truth is putting on its shoes.","Mark Twain",Truth
"Men occasionally stumble over the truth, but most of them pick themselves up and hurry off as if nothing had happened.","Winston S. Churchill",Truth
"If you tell the truth, you don't have to remember anything.","Mark Twain",Truth
"The reason I talk to myself is because I’m the only one whose answers I accept.","George Carlin",Truth
"The truth is rarely pure and never simple.","George R.R. Martin, A Clash of Kings",Truth
"There are two ways to be fooled. One is to believe what isn't true; the other is to refuse to believe what is true.","Soren Kierkegaard",Truth
"Without deviation from the norm, progress is not possible.","Frank Zappa",Progress
"I believe that we are all born for greatness yet most of us mire in the mediocrity of life. We become complacent or worse, discouraged and stagnate. We damn ourselves by not progressing.","Toni Sorenson",Progress
"Any technology distinguishable from magic is insufficiently advanced.","Barry Gehm",Progress
"Never restart a journey and use the same road that failed you before.","Dennis E. Adonis",Progress
"Never confuse movement with action.","Ernest Hemingway",Progress
"Without deviation from the norm, progress is not possible.","Frank Zappa",Progress
"I don't know where I'm going, but I'm on my way.","Carl Sandburg",Progress
"Never confuse movement with action.","Ernest Hemingway",Progress
"I am a slow walker, but I never walk back.","Abraham Lincoln",Progress
"Progress is not an illusion; it happens, but it is slow and invariably disappointing.","George Orwell",Progress
"Being good is easy, what is difficult is being just.","Victor Hugo",Justice
"I don't want tea, I want justice!","Ally Carter, Uncommon Criminals",Justice
"It is better to risk saving a guilty person than to condemn an innocent one.","Voltaire, Zadig et autres contes",Justice
"Right is right even if no one is doing it; wrong is wrong even if everyone is doing it.","Saint Augustine",Justice
"There may be times when we are powerless to prevent injustice, but there must never be a time when we fail to protest.","Elie Wiesel",Justice
"To be wealthy and honored in an unjust society is a disgrace.","Confucius, The Analects",Justice
"I should like to be able to love my country and still love justice.","Albert Camus",Justice
"The rape of justice anywhere, violates justice everywhere. ","Colin Tegerdine",Justice
"An unjust law, is no law at all.","Martin Luther",Justice
"Never pray for justice, because you might get some.","Margaret Atwood, Cat's Eye",Justice
